"","Name","Type of Insurance Company","Insurance Category","Insurance Company Status","Authorization Country","Country of Authorisation","Website","Link","address"
"33","AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE SE","Freedom To Provide Services","Non Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3328","rue Lou Hemmer 4, L-1748, Senningerberg Luxemburg"
"34","AKZO NOBEL ASSURANTIE N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1273",""
"35","ALBINGIA V-A","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1360",""
"36","ALICO ASIGURARI ROMANIA SA","Freedom To Provide Services","Life Insurance","Ceased","Greece","Romania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1683","Lascar Catargiu Blvd 47-53 Bucharest Romania"
"37","ALLGEMEINE KREDITVERSICHERUNG AKTIENGESELLSCHAFT","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1331",""
"38","ALLIANZ - TIRIAC ASIGURARI S.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Romania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=422","Str. Caderea Bastiliei 80-84, Sector 1, Bucharest Romania"
"39","Allianz Benelux SA/NV","Freedom To Provide Services","Composite","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1399","Rue de Laeken 35, B-1000, Brussels Belgium"
"40","ALLIANZ COMPANIA DE SEGUROS Y REASEGUROS SOCIEDAD","Freedom To Provide Services","Non Life Insurance","Active","Greece","Spain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1654","Tarragona 109, E-080014, Barcelona Spain"
"41","ALLIANZ ELEMENTAR LEBENSVERSICHERUNGS-AG","Freedom To Provide Services","Life Insurance","Active","Greece","Austria","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1616","Wiedner Gurtel 9-13, 1100 Vienna, Vienna Austria"
"42","ALLIANZ ELEMENTAR VERZICHERUNGS-AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Austria","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1614","Wiedner Gurtel 9-13, 1100 Vienna, Vienna Austria"
"43","Allianz European Reliance Single Member Insurance S.A.","Insurance Undertaking","Composite","Active","Greece","Greece","http://www.allianz.com.gr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=25","L. Kifisias 274, 15232, Athens, Attic, Greece"
"44","ALLIANZ GLOBAL CORPORATE & SPECIALTY","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=253","Rue Notre Dame des Victoires 23-27, 75002, Paris France"
"45","Allianz Global Corporate & Specialty SE","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=302","KONIGINSTRASSE 28, 80802, Munich Germany"
"46","Allianz Global Life designated activity company","Branch","Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2750","Merrion Road 4 Dublin Irland"
"47","Allianz Global Life designated activity company","Freedom To Provide Services","Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2272","Merrion Road 4 Dublin Irland"
"48","Allianz Hungaria Biztosito Zartkoruen Mukodo Reszvenytarsasag","Freedom To Provide Services","Composite","Active","Greece","Hungary","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1588","Konyves Kalman krt. 48-52, H-1087, Budapest Hungary"
"49","ALLIANZ IARD","Freedom To Provide Services","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2033","1 Cours Michelet, Paris La Defense, 92076 Cedex, Paris France"
"50","Allianz Lebensversicherungs-AG","Freedom To Provide Services","Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2821","Reinsburgstrasse 19, 70178, Stuttgart Germany"
"51","ALLIANZ LIETUVA GYVYBES DRAUDIMAS UAB","Freedom To Provide Services","Life Insurance","Active","Greece","Lithuania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1641",""
"52","Allianz Plc","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5202","Allianz House, Elm Park, Merrion Road , d4 , Irland"
"53","ALLIANZ POJISTOVNA A.S","Freedom To Provide Services","Composite","Active","Greece","Czech Republic","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1553","Ke Stvanici 3 Prague Czech Republic"
"54","Allianz Risk Transfer AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Lichtenstain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2748","Im alten Rien 102, 9494, Schaan Lichtenstain"
"55","ALLIANZ SPA","Freedom To Provide Services","Non Life Insurance","Active","Greece","Italy","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2148","Largo Ugo Irneri 1, 34123, Trieste Italy"
"56","ALLIANZ VERSICHERUNGS-AKTIENGESELLSCAFT","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=257","KONIGINSTRASSE 28, 80802, Munich Germany"
"57","Allianz Vie","Freedom To Provide Services","Composite","Active","Greece","France","www.allianz.fr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2357","1 Cours Michelet, Paris La Defense, 92076 Cedex, Paris France"
"58","Allianz Viva S.P.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Italy","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1364","VIALE ABRUZZI 94, 20131, Milan Italy"
"59","ALLIANZ WORLDWIDE CARE LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1434",""
"60","ALLIED WORLD ASSURANCE COMPANY (EUROPE) dac","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1494","GEORGES QUAY PLAZA, GEORGES QUAY 3RD FLOOR, DUBLIN 2, Dublin Irland"
"61","ALLILASFALISTIKOS SYNETAIRISMOS IDIOKTITON FORTIGON AYTOKINITON DIMOSIAS ChRISEOS ""ASIFA""","Mutual Association","Non Life Insurance","Active","Greece","Greece","http://www.asifa.gr/","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3021","Palaion Patron Germanoy 29, 60100, Katerini, Central Macedonia, Greece"
"62","Alm. Brand Forsikring A/S","Freedom To Provide Services","Non Life Insurance","Active","Greece","Denmark","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=485","Midtermolen 7, 2100, Copenhagen Denmark"
"63","Alpha Gamma N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5250","Court Saint Miche 30B, 1040 Etterbeek , Belgium"
"64","ALPHA INSURANCE A/S","Branch","Non Life Insurance","Liquidation","Greece","Denmark","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=398","Harbour House - Sundkrogsgade 21, 2100 , Copenhagen Denmark"
"65","ALPHA INSURANCE A/S","Freedom To Provide Services","Non Life Insurance","Liquidation","Greece","Denmark","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=325","Harbour House - Sundkrogsgade 21, 2100 , Copenhagen Denmark"
"66","Alpha Insurance SA/NV","Freedom To Provide Services","Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5256","Nervierslaan 85, 1040 Etter, Etterbeek Belgium"
"67","AlphaLife","Insurance Undertaking","Life Insurance","Active","Greece","Greece","www.alphalife.gr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=62","Panepistimioy 43, 105 64, Athens, Attic, Greece"
"68","ALREFORD dac","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1514","James Joyce Street The Metropolitan Building , Dublin 1, Dublin Irland"
"69","ALTE LEIPZIGER","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2409",""
"70","Altius Insurance Ltd","Freedom To Provide Services","Composite","Active","Greece","Cyprus","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=420","GONIA LEOF.KENNENTY & ODOY STASINOY , 1640, Nicosia Cyprus"
"71","ALTRAPLAN LUXEMBOURG S.A.","Freedom To Provide Services","Life Insurance","Ceased","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1327",""
"72","ALTRIA INSURANCE (IRELAND) LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1242",""
"73","AMBAC ASSURANCE UK LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1522",""
"74","AMERICAN HELLENIC HULL INSURANCE COMPANY LTD","Freedom To Provide Services","Non Life Insurance","Active","Greece","Cyprus","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3450","Nicosia"
"75","American International Group UK Limited","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3083","The AIG Building, Fenchurch Str., 58, EC3M 4AB, London United Kingdom"
"76","American Steamship Owners Marine Insurance Company (Europe) Limited","Freedom To Provide Services","Life Insurance","Active","Greece","Cyprus","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5189","Kallitheas Str. 4, 3086, Limassol Cyprus"
"77","AMLIN EUROPE NV","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2295","VAN HEUVEN GOEDHARTLAAN 939, 1181 LD, Amstelveen Holland"
"78","AMSLICO poistovna - ALICO, a.s.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Slovakia","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1964","Pribinova 10, 81109, Bratislava Slovakia"
"79","AMTRUST EUROPE LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","http://www.igi.co.uk","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=246","St. James`s Street , NG1 6FG , Nottingham United Kingdom"
"80","AMTRUST INSURANCE LUXEMBOURG SA","Freedom To Provide Services","Non Life Insurance","License Withdrawal","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2293","Rue de Neudorf 534, L - 2220, Luxembourg Luxemburg"
"81","Amtrust International Underwriters DAC","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1698","College Green 6-8, D02 VP48, Dublin 2, Dublin Irland"
"82","ANCORIA INSURANCE PUBLIC LTD","Freedom To Provide Services","Life Insurance","Active","Greece","Cyprus","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2883","LAODIKIAS 38 STROVOLOS, 2028, Nicosia Cyprus"
"83","Anderzorg N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2626","Lawickse Allee 130, 6709 DZ, Amsterdam Holland"
"84","Anker Insurance Company NV","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1697","Postbus 8002, 9702 KA, Groningen Holland"
"85","ARAG Krankenversicherungs-Aktiengesellschaft","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3351","Hollerithstrasse 1, 81829, Munich Germany"
"86","ARBOR PROPERTY & CASUALTY IRELAND LTD","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1548",""
"87","ARCH INSURANCE (EU) dac","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3317","Level 2, Block 3, The Oval - Shelbourne Road 160, Dublin 4, Dublin Irland"
"88","ARCH INSURANCE (UK) LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1545","Great Tower Street Plantation Place 60, EC3R5AZ, London United Kingdom"
"89","Argoglobal Assicurazioni S.P.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Italy","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1726","Via Guido D'Arezzo 14, 00198, Rome Italy"
"90","ARGONAYTIKI ANONYMOS ETAIRIA GENIKON ASFALISEON","Insurance Undertaking","Non Life Insurance","Liquidation","Greece","Greece","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=72","TSIMISKI 6, 54624, Thessaloniki, Central Macedonia, Greece"
"91","ARIG INSURANCE COMPANY LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1274",""
"92","ARISA ASSURANCES S.A.","Freedom To Provide Services","Non Life Insurance","License Withdrawal","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=288","C/O GOLDBERLL CTR - rue Eugene Rupert 5, L-2453, Luxembourg Luxemburg"
"93","ARΑG - HELLAS ΑΣΦΑΛΕΙΕΣ ΝΟΜΙΚΗΣ ΠΡΟΣΤΑΣΙΑΣ ΑΛΛΟΔΑΠΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ","Branch","Non Life Insurance","Active","Greece","Germany","http://www.arag.gr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=338","ARAG Platz 1, D-40472, Dusseldorf Germany"
"94","AS.T.RA. SA","Insurance Undertaking","Non Life Insurance","Liquidation","Greece","Greece","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=73","KAPODISTRIOY 38, 10432, Athens, Attic, Greece"
"95","ASFALIES G. SIDERIS S.A","Insurance Undertaking","Non Life Insurance","Active","Greece","Greece","http://www.siderisins.gr/","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=21","Lekka 3-5, 10563, Athens, Attic, Greece"
"96","ASITO KAPITAL S.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Romania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1702","Str. Elena Vacarescu Sector 1, 100A, Bucharest Romania"
